Район;Объект;Площадь проезжей части, тыс. м2;Площадь тротуара, тыс. м2;Всего, тыс. м2;Стоимость, тыс. руб.
"ФРУНЗЕНСКИЙ";"Проезд без названия от ул. Салова у дома N 59 до автобусного парка";"4,8";"0,62";"5,42";"7376,89"
"ФРУНЗЕНСКИЙ";"Проезд без названия от Софийской ул. до Карпатской ул. вдоль дома N 95 по Софийской ул.";"0,98";"0,6";"1,58";"2452,2"
"ФРУНЗЕНСКИЙ";"Гаражный проезд от пр. Девятого Января до Грузового проезда";"6,49";"1,94";"8,43";"12808,05"
"ЦЕНТРАЛЬНЫЙ";"Апраксин пер. от Садовой ул. до наб. р. Фонтанки";"6";"1,25";"7,25";"7963,35"
"ЦЕНТРАЛЬНЫЙ";"пл. Белинского на пересечении наб. р. Фонтанки, Инженерной ул., Караванной ул.";"3,2";"0,28";"3,48";"4965,98"
"ЦЕНТРАЛЬНЫЙ";"Греческий пр. от ул. 9-ая Советская до ул. Парадная, с пересечением Греческого пр.  и  ул. Некрасова";"2,93";"0,77";"3,7";"5841,98"
"ЦЕНТРАЛЬНЫЙ";"ул. Жуковского от д. №22-41  до Лиговского пр.";"7,64";"4,89";"12,53";"32813,82"
"ЦЕНТРАЛЬНЫЙ";"Инженерная ул. от Садовой ул. до пл. Белинского с перекрестком у Садовой ул.";"7,36";"0,18";"7,54";"12527,69"
"ЦЕНТРАЛЬНЫЙ";"ул. Красного Текстильщика от ул. Моисеенко до Тульской ул.";"6,22";"4,5";"10,72";"12830,51"
"ЦЕНТРАЛЬНЫЙ";"Пересечение ул. Марата и ул. Боровая";"0,81";"0";"0,81";"767,56"
"ЦЕНТРАЛЬНЫЙ";"Миргородская ул. от Кременчугской ул. до ул. Хохрякова";"6,55";"3,57";"10,12";"13919,64"
"ЦЕНТРАЛЬНЫЙ";"наб. р. Мойки от наб. р. Фонтанки до 2-го Садового моста (нечетная сторона), от наб. кан Грибоедова до Певческого моста (четная сторона)";"11";"0";"11";"13525,21"
"ЦЕНТРАЛЬНЫЙ";"Потемкинская ул. от наб. Робеспьера до Кирочной ул.";"8,33";"0";"8,33";"13937,39"
"ЦЕНТРАЛЬНЫЙ";"Преображенская пл. от ул. Пестеля до ул. Маяковского";"8,27";"0";"8,27";"9161,15"
"ЦЕНТРАЛЬНЫЙ";"ул. Пролетарской Диктатуры и пл. Пролетарской Диктатуры от ул. Бонч-Бруевича до Шпалерной ул.";"0,42";"5,18";"5,6";"26849,76"
"ЦЕНТРАЛЬНЫЙ";"Песковский пер. от 1-й Советской ул. до пл. Восстания";"0,1";"0,08";"0,18";"590,82"
"ЦЕНТРАЛЬНЫЙ";"ул. Чайковского от наб. р. Фонтанки до Потемкинской ул.";"18,51";"18,55";"37,06";"40665,86"
"ЦЕНТРАЛЬНЫЙ";"Шпалерная ул. у домов №24-34";"0";"2,25";"2,25";"8369,17"
"ЦЕНТРАЛЬНЫЙ";"Малая Конюшенная ул. от Шведского пер. до Невского пр.";"0";"6,72";"6,72";"21951,58"
"ПЕТРОГРАДСКИЙ";"ул. Мира (от ул. Котовского до д. 29 по ул. Мира)";"3,81";"0";"3,81";"6810,2"
"ПЕТРОДВОРЦОВЫЙ";"ул. Аврова от Александрийского шоссе до Озерковой ул.";"18,88";"12,21";"31,09";"26959,69"
"ПЕТРОДВОРЦОВЫЙ";"Ботаническая ул. от Чичеринской ул. до Ульяновской ул.";"0";"13,5";"13,5";"19567,08"
"ПЕТРОДВОРЦОВЫЙ";"Пересечение ул. Дзержинского и ул. Ботанической (г. Петергоф)";"0,14";"0,3";"0,44";"926,2"
"ПЕТРОДВОРЦОВЫЙ";"ул. Федюнинского посадочная площадка (г. Ломоносов)";"0,16";"0,14";"0,3";"906,95"
"ПЕТРОДВОРЦОВЫЙ";"Ново-Нарвское шоссе от Санкт-Петербургского шоссе до ул. Нижняя Колония";"9,3";"0";"9,3";"8793,95"
"ПЕТРОДВОРЦОВЫЙ";"ул. Попова от Санкт-Петербургского шоссе за ул. Лодыгина";"1,5";"0,55";"2,05";"1997,11"
"ПЕТРОДВОРЦОВЫЙ";"ул. Луизино от Сашинской дор. до Парковой ул";"11,05";"0";"11,05";"13949,99"
"ПЕТРОДВОРЦОВЫЙ";"ул. Первого Мая от Гостилицкой ул. до Ульяновской ул.";"17,62";"0,16";"17,78";"14239,79"
"ПЕТРОДВОРЦОВЫЙ";"Ольгинское шоссе от ул. Луизино за Луговую ул.";"3,75";"0";"3,75";"5470,43"
"ПЕТРОДВОРЦОВЫЙ";"Пересечение Красносельского шоссе и Красносельского переулка (зона трампутей)";"0,11";"0";"0,11";"214,19"
"КРАСНОСЕЛЬСКИЙ";"Новая ул. (Красное Село)";"2,45";"0";"2,45";"2521,74"
"КРАСНОСЕЛЬСКИЙ";"Красная ул. от Интернациональной ул. до Волхонского шоссе";"6,22";"0";"6,22";"7617,75"
"АДМИРАЛТЕЙСКИЙ";"Звенигородская ул. от Загородного пр. до ул. Константина Заслонова";"13,4";"5,75";"19,15";"23102,11"
"АДМИРАЛТЕЙСКИЙ";"Конногвардейский пер. от Конногвардейского бульв. до Б. Морской ул.";"2,63";"1,2";"3,83";"3805,36"
"АДМИРАЛТЕЙСКИЙ";"2-я Красноармейская ул. от Московского пр. до Измайловского пр.";"5,39";"3,01";"8,4";"9646,44"
"АДМИРАЛТЕЙСКИЙ";"Либавский пер. от наб. р. Фонтанки до Рижского пр.";"2,21";"1,62";"3,83";"3858,03"
"АДМИРАЛТЕЙСКИЙ";"Лоцманская ул. от наб. р. Пряжки до пл. Репина";"6,61";"0";"6,61";"6474,87"
"АДМИРАЛТЕЙСКИЙ";"Мастерская ул. от ул. Декабристов до пр. Римского-Корсакова";"3,11";"0";"3,11";"2649,05"
"АДМИРАЛТЕЙСКИЙ";"М. Митрофаньевская ул. от Московского пр. до Митрофаньевского шоссе";"13";"4,33";"17,33";"25333,59"
"АДМИРАЛТЕЙСКИЙ";"Почтамтская ул. от Исаакиевской пл. до Почтамтского пер.";"1,91";"1";"2,91";"2609,2"
