Наименование остановки;Официальное наименование;Расположение;Широта;Долгота;Тип объекта;Маршруты
"ЮЖНО-ПРИМОРСКИЙ ПАРК";"ЮЖНО-ПРИМОРСКИЙ ПАРК";"Петергофское шоссе, ул. Доблести";"59,84649308";"30,1743412";"Остановка";"160,162,200,210"
"АЛЛЕЯ СЛАВЫ";"АЛЛЕЯ СЛАВЫ";"Петергофское шоссе, ул. Партизана Германа";"59,84621861";"30,176466";"Остановка";"200,21"
"УЛ. ТАМБАСОВА";"УЛ. ТАМБАСОВА";"Петергофское шоссе, 1-й Петергофский мост";"59,84675383";"30,1581821";"Остановка";"160,162,200,210"
"УЛ. ТАМБАСОВА";"УЛ. ТАМБАСОВА";"Петергофское шоссе, 1-й Петергофский мост";"59,84658229";"30,1593533";"Остановка";"162,200,210"
"ПЕТЕРГОФСКОЕ ШОССЕ, 5";"ПЕТЕРГОФСКОЕ ШОССЕ, 5";"Петергофское шоссе";"59,84588923";"30,2020416";"Остановка";"200,21"
"ПЕТЕРГОФСКОЕ ШОССЕ, 5";"ПЕТЕРГОФСКОЕ ШОССЕ, 5";"Петергофское шоссе";"59,84571768";"30,2024384";"Остановка";"200,21"
"ШКОЛА № 445";"ШКОЛА № 445";"проспект Ленина, Исполкомская улица";"60,19303386";"29,7022877";"Остановка";"211,213,318,319,322,415Ш,420,420А"
"ИНСТИТУТ ГЕНЕТИКИ (ТЕСТ)";"ИНСТИТУТ ГЕНЕТИКИ";"Московское ш.";"59,71178376";"30,4520206";"Остановка";"384"
"Б. ГЛИНКИ (ТЕСТ)";"Б. ГЛИНКИ";"";"59,67974552";"30,4969864";"Остановка";"493"
"5 КМ (ТЕСТ)";"5 КМ";"";"59,66125168";"30,5300827";"Остановка";"493"
""Ж.-Д. СТ. "МОРСКАЯ" <"";""Ж.-Д. СТ. "МОРСКАЯ"";"Приморское ш.";"60,00270597";"30,06987";"Остановка";"120,211,216"
"МАГАЗИННАЯ УЛ.";"МАГАЗИННАЯ УЛ.";"Мосина ул., Магазинная ул.";"60,08651526";"29,966486";"Остановка";"307"
"ПРИМОРСКОЕ ШОССЕ, 285 (тест)";"ПРИМОРСКОЕ ШОССЕ, 285";"Приморское ш., Ново-Гагаринская ул.";"60,08306464";"29,958746";"Остановка";"310,311,312"
"777 КМ";"777 КМ";"A-122";"60,34289185";"29,7802677";"Остановка";"410"
"ПОС. МОЛОДЕЖНОЕ, ПОЧТА <";"ПОС. МОЛОДЕЖНОЕ, ПОЧТА";"A-123";"60,19284034";"29,5191498";"Остановка";"213,420,420А,420Б"
