Наименование остановки;Официальное наименование;Расположение;Широта;Долгота;Тип объекта;Маршруты
"УЛ. ПЕРЕДОВИКОВ, УГ. ПР. ЭНТУЗИАСТОВ";"УЛ. ПЕРЕДОВИКОВ, УГ. ПР. ЭНТУЗИАСТОВ";"Передовиков ул., Энтузиастов пр.";"59,94417212";"30,4626617";"Остановка";"77"
"УЛ. ПЕРЕДОВИКОВ, УГ. ПР. ЭНТУЗИАСТОВ [77]<";"УЛ. ПЕРЕДОВИКОВ, УГ. ПР. ЭНТУЗИАСТОВ";"Энтузиастов пр., Передовиков ул.";"59,94453473";"30,4637241";"Остановка";"77"
"КАМЫШОВАЯ УЛ., 52";"КАМЫШОВАЯ УЛ., 52";"";"60,0103372";"30,2028275";"Остановка";"166,172"
"БОГАТЫРСКИЙ ПР. (тест)";"БОГАТЫРСКИЙ ПР.";"Богатырский пр.";"60,00793364";"30,1991806";"Остановка";"172"
"БАЙКОНУРСКАЯ УЛ. (тест)";"БАЙКОНУРСКАЯ УЛ.";"Королева пр., Байконурская ул.";"60,01138188";"30,2792397";"Остановка";"38,79,134А,170"
"УЛ. ЩЕРБАКОВА (тест)";"УЛ. ЩЕРБАКОВА";"Афонская ул., Щербакова ул.";"60,02947412";"30,3026066";"Остановка";"45,134А,182"
"ШУВАЛОВСКИЙ ПР.";"ШУВАЛОВСКИЙ ПР.";"";"59,99383309";"30,1927624";"Остановка";"125,154А,172"
"ПР. ПРОСВЕЩЕНИЯ УГ. УЛ. СИМОНОВА (тест)";"ПР. ПРОСВЕЩЕНИЯ УГ. УЛ. СИМОНОВА";"Просвещения пр., Симонова ул.";"60,05524552";"30,3227692";"Остановка";"75,99,104,121,143,167,173,397,433"
"ШУВАЛОВСКИЙ ПР., 88 (тест)<";"ШУВАЛОВСКИЙ ПР., 88";"Шуваловский пр";"59,99724182";"30,1931496";"Остановка";"125,154А,172"
"БОГАТЫРСКИЙ ПР.";"БОГАТЫРСКИЙ ПР.";"Богатырский пр., Шуваловский пр.";"60,00855503";"30,2008495";"Остановка";"126,154,172"
"КАМЫШОВАЯ УЛ., 52";"КАМЫШОВАЯ УЛ., 52";"Богатырский пр.";"60,01021088";"30,2031212";"Остановка";"126,172"
""СТ. МЕТРО "ПРОСПЕКТ ПРОСВЕЩЕНИЯ" (тест)"";""СТ. МЕТРО "ПРОСПЕКТ ПРОСВЕЩЕНИЯ"";"Просвещения пр., Хошимина ул.";"60,05297479";"30,3326588";"Остановка";"99,121,143"
"ПОЛИКЛИНИКА (тест)<";"ПОЛИКЛИНИКА";"";"60,01064105";"30,2092209";"Остановка";"126,166,172"
"ТУРИСТСКАЯ УЛ. (тест)<";"ТУРИСТСКАЯ УЛ.";"Камышовая ул.";"60,00996507";"30,2149773";"Остановка";"166,172"
"УЛ. ЕСЕНИНА (тест)";"УЛ. ЕСЕНИНА";"Просвещения пр., Есенина ул.";"60,05113354";"30,3422031";"Остановка";"121,143"
"УЛ. АКАДЕМИКА БАЙКОВА (тест)";"УЛ. АКАДЕМИКА БАЙКОВА";"Тихорецкий пр., Академика Байкова ул.";"60,02962084";"30,3648529";"Остановка";"99ШК,143"
"ГАККЕЛЕВСКАЯ УЛ., УГ. БОГАТЫРСКОГО ПР. (тест)<";"ГАККЕЛЕВСКАЯ УЛ., УГ. БОГАТЫРСКОГО ПР.";"Богатырский пр., Гаккелевская ул.";"60,00082094";"30,2569427";"Остановка";"93,172"
""ПАРК "СОСНОВКА" (тест)"";""ПАРК "СОСНОВКА"";"Тихорецкий пр., аллея Академика Глушко";"60,02506545";"30,3656921";"Остановка";"143"
"ТИМУРОВСКАЯ УЛ. УГ. СВЕТЛАНОВСКОГО ПР. (тест)";"ТИМУРОВСКАЯ УЛ. УГ. СВЕТЛАНОВСКОГО ПР.";"Тимуровская ул., Светлановский пр.";"60,04456218";"30,4017391";"Остановка";"93"
"БАЙКОНУРСКАЯ УЛ. (ПО БОГАТЫРСКОМУ ПР.) (тест)<";"БАЙКОНУРСКАЯ УЛ. (ПО БОГАТЫРСКОМУ ПР.)";"Богатырский пр., Байконурская ул.";"59,99844401";"30,2777309";"Остановка";"93,172"
"УЛ. ДЕМЬЯНА БЕДНОГО УГ. ТИМУРОВСКОЙ УЛ. (тест)";"УЛ. ДЕМЬЯНА БЕДНОГО УГ. ТИМУРОВСКОЙ УЛ.";"Демьяна Бедного ул., Тимуровская ул.";"60,04654361";"30,3896389";"Остановка";"69"
"УЛ. АКАДЕМИКА БАЙКОВА [143]< (тест)";"УЛ. АКАДЕМИКА БАЙКОВА";"Тихорецкий пр., Академика Байкова ул.";"60,02954577";"30,3655701";"Остановка";"99ШК,143"
"ПР. КУЛЬТУРЫ УГ. ПР. ПРОСВЕЩЕНИЯ (тест)";"ПР. КУЛЬТУРЫ УГ. ПР. ПРОСВЕЩЕНИЯ";"Культуры пр., проспект Просвещения";"60,04504646";"30,3756027";"Остановка";"99,99ШК,139"
"ТИХОРЕЦКИЙ ПР.,УГ. СЕВЕРНОГО ПР. [143]< (тест)";"ТИХОРЕЦКИЙ ПР.,УГ. СЕВЕРНОГО ПР.";"Тихорецкий пр., Северный пр.";"60,03185564";"30,3652191";"Остановка";"143"
"ПР. ХУДОЖНИКОВ [143]< (тест)";"ПР. ХУДОЖНИКОВ";"Просвещения пр., Художников пр.";"60,04931265";"30,3531246";"Остановка";"99,121,143"
"УЛ. ЕСЕНИНА [143]< (тест)";"УЛ. ЕСЕНИНА";"Просвещения пр., Есенина ул.";"60,05172003";"30,341135";"Остановка";"121,143"
""СТ. МЕТРО "ПРОСПЕКТ ПРОСВЕЩЕНИЯ" [143]< (тест)"";""СТ. МЕТРО "ПРОСПЕКТ ПРОСВЕЩЕНИЯ"";"Просвещения пр., Энгельса пр.";"60,05324415";"30,3339729";"Остановка";"99,121,143"
"СВЕТЛАНОВСКИЙ ПР.";"СВЕТЛАНОВСКИЙ ПР.";"Луначарского пр., Светлановский пр.";"60,03047383";"30,3927193";"Остановка";"153,178"
"УЛ. СИМОНОВА, УГ. УЛ. ПРОКОФЬЕВА [143]< (тест)";"УЛ. СИМОНОВА, УГ. УЛ. ПРОКОФЬЕВА";"Симонова ул., Прокофьева ул.";"60,06126936";"30,3263741";"Остановка";"80,121,123,143,397"
"УЛ. ВЕРНОСТИ (тест)";"УЛ. ВЕРНОСТИ";"Бутлерова ул., Верности ул.";"60,00703567";"30,4017181";"Остановка";"178"
"СВЕТЛАНОВСКИЙ ПР., УГ. ТИХОРЕЦКОГО ПР. [143] (тест)";"СВЕТЛАНОВСКИЙ ПР., УГ. ТИХОРЕЦКОГО ПР.";"Тихорецкий пр., Светлановский пр.";"60,01841381";"30,3672371";"Остановка";"143"
"СВЕТЛАНОВСКИЙ ПР., УГ. ТИХОРЕЦКОГО ПР. [143]< (тест)";"СВЕТЛАНОВСКИЙ ПР., УГ. ТИХОРЕЦКОГО ПР.";"Тихорецкий пр., Светлановский пр.";"60,01920566";"30,3676186";"Остановка";"143"
"ПР. ПРОСВЕЩЕНИЯ (тест)";"ПР. ПРОСВЕЩЕНИЯ";"Художников пр., Просвещения пр.";"60,04927514";"30,3547707";"Остановка";"178"
"ПОЛИКЛИНИКА № 114 [93] (тест)";"ПОЛИКЛИНИКА № 114";"Школьная ул., Приморское ш.";"59,99181775";"30,2128544";"Остановка";"32,93,134А,170"
"ПР. ПРОСВЕЩЕНИЯ, УГ. ПР. ХУДОЖНИКОВ (тест)";"ПР. ПРОСВЕЩЕНИЯ, УГ. ПР. ХУДОЖНИКОВ";"Просвещения пр., Художников пр.";"60,04855903";"30,3549004";"Остановка";"99,121"
"УЛ. КУСТОДИЕВА (тест)";"УЛ. КУСТОДИЕВА";"Просвещения пр., Кустодиева ул.";"60,0472393";"30,3614655";"Остановка";"121"
"УЛ. РУДНЕВА (тест)";"УЛ. РУДНЕВА";"Просвещения пр., Руднева ул.";"60,04611391";"30,3668308";"Остановка";"60,121"
"УЛ. ОЛЬГИ ФОРШ ПО ПР. ПРОСВЕЩЕНИЯ (тест)";"УЛ. ОЛЬГИ ФОРШ ПО ПР. ПРОСВЕЩЕНИЯ";"Просвещения пр., Ольги Форш ул.";"60,04085135";"30,3928356";"Остановка";"60,121,139"
"ТУРИСТСКАЯ УЛ.";"ТУРИСТСКАЯ УЛ.";"Школьная ул., Туристская ул.";"59,99278444";"30,2041969";"Остановка";"32"
"ПР. ПРОСВЕЩЕНИЯ, УГ. Д.БЕДНОГО (тест)";"ПР. ПРОСВЕЩЕНИЯ, УГ. Д.БЕДНОГО";"Демьяна Бедного ул., Просвещения пр.";"60,04178592";"30,3856926";"Остановка";"69"
"УЛ. ОПТИКОВ [93] (тест)";"УЛ. ОПТИКОВ";"Торфяная дорога, Оптиков ул.";"59,99527791";"30,2555904";"Остановка";"5М,5МА,93,126"
"СИТЦЕВАЯ УЛ. [93] (тест)";"СИТЦЕВАЯ УЛ.";"Торфяная дорога, Ситцевая ул.";"59,99719742";"30,2553272";"Остановка";"5М,5МА,93,126"
"ПРОЕЗД РАЕВСКОГО (тест)";"ПРОЕЗД РАЕВСКОГО";"Светлановский пр., Раевского пр.";"60,01516087";"30,3577976";"Остановка";"69,93,98"
"УЛ. Ж. ДЮКЛО (тест)";"УЛ. Ж. ДЮКЛО";"ул. Жака Дюкло, Светлановский пр.";"60,01293859";"30,3539753";"Остановка";"69"
"ТИХОРЕЦКИЙ ПР, 7 (тест)";"ТИХОРЕЦКИЙ ПР, 7";"Тихорецкий пр., Раевского пр.";"60,01203393";"30,3691483";"Остановка";"69"
"ПР. ТОРЕЗА [93] (тест)";"ПР. ТОРЕЗА";"Светлановский пр., Тореза пр.";"60,01093807";"30,3480396";"Остановка";"93,98,99ШК"
"УЛ. ЖАКА ДЮКЛО[93] (тест)";"УЛ. ЖАКА ДЮКЛО";"Светлановский пр., ул. Жака Дюкло";"60,01346089";"30,3542213";"Остановка";"93,98,143"
"УЧИТЕЛЬСКАЯ УЛ. (тест)";"УЧИТЕЛЬСКАЯ УЛ.";"Демьяна Бедного ул., Учительская ул.";"60,03696954";"30,3825607";"Остановка";"69"
"ПР. ЛУНАЧАРСКОГО УГ. ГРАЖДАНСКОГО ПР. [93] (тест)";"ПР. ЛУНАЧАРСКОГО УГ. ГРАЖДАНСКОГО ПР.";"Луначарского пр., Гражданский пр.";"60,02527361";"30,4114628";"Остановка";"93"
"СВЕТЛАНОВСКИЙ ПР. УГ. ПР. ПРОСВЕЩЕНИЯ";"СВЕТЛАНОВСКИЙ ПР. УГ. ПР. ПРОСВЕЩЕНИЯ";"Просвещения пр., Светлановский пр.";"60,0402101";"30,3980064";"Остановка";"60,121,139"
"УЛ. ЧЕРКАСОВА, УГ. ПР. ЛУНАЧАРСКОГО";"УЛ. ЧЕРКАСОВА, УГ. ПР. ЛУНАЧАРСКОГО";"Черкасова ул., Луначарского пр.";"60,02375161";"30,42029";"Остановка";"93"
"КИРИШСКАЯ УЛ.,УГ. УЛИЦЫ ЧЕРКАСОВА [93] (тест)";"КИРИШСКАЯ УЛ.,УГ. УЛИЦЫ ЧЕРКАСОВА";"Черкасова ул., Киришская ул.";"60,03071608";"30,4272881";"Остановка";"93"
"ПРОСПЕКТ ВЕТЕРАНОВ, 69 [68, 88, 130] [тест]<";"ПРОСПЕКТ ВЕТЕРАНОВ, 69";"Ветеранов пр.";"59,83785631";"30,2315655";"Остановка";"1М,1МБ,68,88,130"
"ПРОСПЕКТ ВЕТЕРАНОВ, 69 [68, 88, 130] [тест]";"ПРОСПЕКТ ВЕТЕРАНОВ, 69";"Ветеранов пр.";"59,83778424";"30,2321568";"Остановка";"1М,1МБ,68,88,130"
""СТ. МЕТРО "КУПЧИНО"";""СТ. МЕТРО "КУПЧИНО"";"Витебский пр.";"59,82988324";"30,3743916";"Остановка";"72,186,190,196,197"
"УЛ. ПИЛОТОВ, 61";"УЛ. ПИЛОТОВ, 61";"ул. Пилотов";"59,82223787";"30,2878494";"Остановка";"13А"
"ЖЕЛЕЗНОДОРОЖНЫЙ ПЕРЕЕЗД (187) [тест]";"ЖЕЛЕЗНОДОРОЖНЫЙ ПЕРЕЕЗД";"Петербургское ш.";"59,7544962";"30,3850842";"Остановка";"187"
"ЖЕЛЕЗНОДОРОЖНЫЙ ПЕРЕЕЗД (187) [тест]<";"ЖЕЛЕЗНОДОРОЖНЫЙ ПЕРЕЕЗД";"Петербургское ш.";"59,75601338";"30,3817616";"Остановка";"187"
""А.С. "УЛ. ГРИБАКИНЫХ"";""А.С. "УЛ. ГРИБАКИНЫХ"";"Грибакиных ул., Бабушкина ул.";"59,85973727";"30,4694614";"ДС";"5,51,189,327"
"ЗАГРЕБСКИЙ БУЛЬВАР";"ЗАГРЕБСКИЙ БУЛЬВАР";"Олеко Дундича ул., Загребcкий бульвар";"59,83169906";"30,4138489";"Остановка";"56,96"
"ПРОЛЕТАРСКАЯ УЛИЦА, УГОЛ БУЛЬВАРА ТРУДЯЩИХСЯ";"ПРОЛЕТАРСКАЯ УЛИЦА, УГОЛ БУЛЬВАРА ТРУДЯЩИХСЯ";"Пролетарская улица, бульвар Трудящихся";"59,74199485";"30,5686417";"Остановка";"326,336,337,337А,364,366,386,389"
"ПРОЛЕТАРСКАЯ УЛИЦА, УГОЛ БУЛЬВАРА ТРУДЯЩИХСЯ";"ПРОЛЕТАРСКАЯ УЛИЦА, УГОЛ БУЛЬВАРА ТРУДЯЩИХСЯ";"ул. Пролетарская, бульвар Трудящихся";"59,74180212";"30,5703697";"Остановка";"326,332,337,337А,389"
"УЛИЦА ТАНКИСТОВ";"УЛИЦА ТАНКИСТОВ";"ул. Танкистов, ул. Пролетарская";"59,74231149";"30,5601273";"Остановка";"326,336,337,337А,364,366,386,389"
"ЗАГРЕБСКИЙ БУЛЬВАР [тест]";"ЗАГРЕБСКИЙ БУЛЬВАР";"Дунайский пр., ул. Бухарестская";"59,84205316";"30,4083405";"Остановка";"326"
"ЗАГРЕБСКИЙ БУЛЬВАР [тест]<";"ЗАГРЕБСКИЙ БУЛЬВАР";"Дунайский пр., Загребcкий бульвар";"59,84084186";"30,4049282";"Остановка";"53,326"
"БУДАПЕШТСКАЯ УЛ. [тест]";"БУДАПЕШТСКАЯ УЛ.";"Дунайский пр., ул. Будапештская";"59,83879319";"30,3955879";"Остановка";"326"
"БУДАПЕШТСКАЯ УЛ. [тест]<";"БУДАПЕШТСКАЯ УЛ.";"Дунайский пр., Будапештская ул.";"59,83883093";"30,3973713";"Остановка";"53,326"
"ГАТЧИНСКОЕ ШОССЕ, 9 [145А]";"ГАТЧИНСКОЕ ШОССЕ, 9";"Гатчинское ш., Красногородская ул.";"59,71905496";"30,0797291";"Остановка";"144,145А,477"
"ГАТЧИНСКОЕ ШОССЕ, 9 [145А] <";"ГАТЧИНСКОЕ ШОССЕ, 9";"Гатчинское ш., Красногородская ул.";"59,71916173";"30,0802689";"Остановка";"145А,477"
"БУЛЬВАР НОВАТОРОВ [114]";"БУЛЬВАР НОВАТОРОВ";"Подводника Кузьмина ул., Новаторов бул.";"59,84464376";"30,2636223";"Остановка";"114"
"БУЛЬВАР РАЗВЕДЧИКОВ,14 [355]";"БУЛЬВАР РАЗВЕДЧИКОВ,14";"Разведчика бул., Мастеровой пер.";"59,87819693";"29,8927097";"Остановка";"355"
"БУЛЬВАР ТРУДЯЩИХСЯ";"БУЛЬВАР ТРУДЯЩИХСЯ";"ул. Веры Слуцкой, бул. Трудящихся";"59,7356512";"30,5793285";"Остановка";"196,327,362,374,386,390,540"
"БУХАРЕСТСКАЯ УЛ.";"БУХАРЕСТСКАЯ УЛ.";"Славы пр., Бухарестская ул.";"59,8591954";"30,3937035";"Остановка";"5М,5МБ,11,56,114,116,141"
""СТ. МЕТРО "МЕЖДУНАРОДНАЯ"";""СТ. МЕТРО "МЕЖДУНАРОДНАЯ"";"Белы Куна ул., Бухарестская ул.";"59,87146432";"30,3809547";"Остановка";"31,95"
"БУХАРЕСТСКАЯ УЛ. 118 [56]";"БУХАРЕСТСКАЯ УЛ. 118";"ул. Бухарестская";"59,84689107";"30,4052525";"Остановка";"56,57"
""СТ. МЕТРО "МЕЖДУНАРОДНАЯ"";""СТ. МЕТРО "МЕЖДУНАРОДНАЯ"";"ул. Бухарестская, ул. Белы Куна";"59,87188257";"30,3798046";"Остановка";"5М,5МБ,29,54,91"
"БУХАРЕСТСКАЯ УЛ. УГ. УЛ. О. ДУНДИЧА [56]";"БУХАРЕСТСКАЯ УЛ. УГ. УЛ. О. ДУНДИЧА";"ул. Бухарестская, ул. Олеко Дундича";"59,83359029";"30,4187355";"Остановка";"56,57"
"БУХАРЕСТСКАЯ УЛ. УГ. УЛ. ФУЧИКА";"БУХАРЕСТСКАЯ УЛ. УГ. УЛ. ФУЧИКА";"Бухарестская улица, улица Фучика";"59,87925606";"30,3721714";"Остановка";"91"
"БУХАРЕСТСКАЯ.,66";"БУХАРЕСТСКАЯ.,66";"Бухарестская ул.";"59,87453598";"30,3763103";"Остановка";"5М,5МБ,29,54,91"
"ВАГОНОРЕМОНТНЫЙ ЗАВОД [8, 31, 95, 114, 116]";"ВАГОНОРЕМОНТНЫЙ ЗАВОД";"Седова ул., Дудко ул.";"59,88620983";"30,4233437";"Остановка";"8,31,95,114,116"
"ВАРШАВСКАЯ УЛ. [72]";"ВАРШАВСКАЯ УЛ.";"Бассейная ул., Варшавская ул.";"59,8647132";"30,3131714";"Остановка";"63,72"
"ВЕРБНАЯ УЛ. УГ. УЛ. РЕПИЩЕВА [9, 127, 40]";"ВЕРБНАЯ УЛ. УГ. УЛ. РЕПИЩЕВА";"Вербная ул., Репищева ул.";"60,02354344";"30,280592";"Остановка";"9,40,127,171"
"ВЕСЕЛЬНАЯ УЛ. [1]";"ВЕСЕЛЬНАЯ УЛ.";"Большой пр. В.О., Весельная ул.";"59,92825447";"30,246212";"Остановка";"1"
"ВЕСЕЛЬНАЯ УЛ. [7]";"ВЕСЕЛЬНАЯ УЛ.";"Большой пр. В.О., Весельная ул.";"59,92825447";"30,246212";"Остановка";"7,7А,128"
"ВИТЕБСКИЙ ПР.,109";"ВИТЕБСКИЙ ПР.,109";"Витебский пр.";"59,82092284";"30,3794518";"Остановка";"186,190,196"
"ВИТЕБСКИЙ ПР.,31 [72]";"ВИТЕБСКИЙ ПР.,31";"Витебский пр., Белградская ул.";"59,861404";"30,3579369";"Остановка";"72"
"ВИТЕБСКИЙ ПР.,63 [72]";"ВИТЕБСКИЙ ПР.,63";"Витебский пр., Орджоникидзе ул.";"59,84541232";"30,3661442";"Остановка";"72,116"
"ВИТЕБСКИЙ ПР.,75 [72]";"ВИТЕБСКИЙ ПР.,75";"Витебский пр., Орджоникидзе ул.";"59,84213209";"30,3677864";"Остановка";"63,72"
"ВИТИНО,1 [482, 482а, 482в]";"ВИТИНО,1";"Таллинское ш.";"59,6556139";"29,7276745";"Остановка";"482,482А,482В"
"ВИТИНО,2 [482, 482а, 482в, 487, 487, 487а]";"ВИТИНО,2";"Таллинское ш.";"59,6542992";"29,7141037";"Остановка";"482,482А,482В,487"
"ВОЗНЕСЕНСКИЙ ПР.";"ВОЗНЕСЕНСКИЙ ПР.";"Садовая ул., переулок Бойцова";"59,92365774";"30,3107243";"Остановка";"49,7"
"ВОКЗАЛ";"ВОКЗАЛ";"ул. Железнодорожная, ул. Ленинградская";"59,723284";"30,4289036";"Остановка";"187,188,273,373,376,378,380Э,383,545"
"ВОКЗАЛЬНАЯ ПЛ.";"ВОКЗАЛЬНАЯ ПЛ.";"ул. Октябрьская, Банковский переулок";"59,74931454";"30,6128502";"Остановка";"192,325,326,366,369,386,387,390,392,394"
"ВОЛХОНСКОЕ ШОССЕ,2 [195]";"ВОЛХОНСКОЕ ШОССЕ,2";"Волхонское ш.";"59,78425279";"30,1977482";"Остановка";"108,195"
"ВОЛХОНСКОЕ ШОССЕ,4";"ВОЛХОНСКОЕ ШОССЕ,4";"Волхонское ш.";"59,78111779";"30,206665";"Остановка";"108,195"
"ВЫСОКОВОЛЬТНАЯ ЛИНИЯ [476]";"ВЫСОКОВОЛЬТНАЯ ЛИНИЯ";"";"59,84033056";"30,5396309";"Остановка";"476"
"ГАККЕЛЕВСКАЯ УЛ. [154]";"ГАККЕЛЕВСКАЯ УЛ.";"Оптиков ул., Мебельная ул.";"59,99563313";"30,251297";"Остановка";"154,166"
"ГАККЕЛЕВСКАЯ УЛ. УГ. БОГАТЫРСКОГО ПР. [172]";"ГАККЕЛЕВСКАЯ УЛ. УГ. БОГАТЫРСКОГО ПР.";"Гаккелевская ул., Богатырский пр.";"60,00169859";"30,2561302";"Остановка";"5М,5МА,126,172"
"ГЕЛЬСИНГФОРССКАЯ УЛ. [86]";"ГЕЛЬСИНГФОРССКАЯ УЛ.";"Большой Сампсониевский пр., Гельсингфорсская ул.";"59,97419022";"30,3395405";"Остановка";"86"
"ГЛУХАРСКАЯ УЛ., УГ. ПР. АВИАКОНСТРУКТОРОВ [85, 127]";"ГЛУХАРСКАЯ УЛ., УГ. ПР. АВИАКОНСТРУКТОРОВ";"Авиаконструкторов пр., Глухарская ул.";"60,02922504";"30,2176514";"Остановка";"79,85,127,170,182"
"ГЛУХОВО,ЛЕСХОЗ [482, 482в, 482а, 487, 487, 487а]";"ГЛУХОВО,ЛЕСХОЗ";"Таллинское ш.";"59,66294214";"29,7679806";"Остановка";"482,482А,482В,487"
"ГОМОНТОВО [487, 487, 487а]";"ГОМОНТОВО";"Таллинское ш.";"59,5728601";"29,2671223";"Остановка";"487"
"ГОСТИЛИЦКОЕ ШОССЕ,УГ. ЧИЧЕРИНСКОЙ УЛ. [356, 356Б]";"ГОСТИЛИЦКОЕ ШОССЕ,УГ. ЧИЧЕРИНСКОЙ УЛ.";"Гостилицкое ш., Чичеринская ул.";"59,86888952";"29,849102";"Остановка";"356"
""ГОСТИНИЦА "ПРИБАЛТИЙСКАЯ"";""ГОСТИНИЦА "ПРИБАЛТИЙСКАЯ"";"Нахимова ул., Кораблестроителей ул.";"59,93974523";"30,2196255";"Остановка";"7,7А,41,128,151"
""ГОСТИНИЦА "САНКТ-ПЕТЕРБУРГ" [49]"";""ГОСТИНИЦА "САНКТ-ПЕТЕРБУРГ"";"Финляндский пр., Оренбургская ул.";"59,95819808";"30,3413868";"Остановка";"49"
"ГРАЖДАНСКАЯ УЛ. [145, 165, 482, 482а, 482в, 484, 484б, 487, 487]";"ГРАЖДАНСКАЯ УЛ.";"Таллинское ш., Ломоносова ул.";"59,74754585";"30,1022053";"Остановка";"145,145А,147,165,442,458,458Б,481,482,482А,482В,484,484Б,487"
"ГРАЖДАНСКИЙ ПР. [123, 138]";"ГРАЖДАНСКИЙ ПР.";"проспект Непокорённых, Гражданский пр.";"59,99645627";"30,3794518";"Остановка";"40,80,123,138"
"ГРАЖДАНСКИЙ ПР. УГ. ПР. ЛУНАЧАРСКОГО [102, 103, 178, 93, 153]";"ГРАЖДАНСКИЙ ПР. УГ. ПР. ЛУНАЧАРСКОГО";"Луначарского пр., Гражданский пр.";"60,02617109";"30,4096375";"Остановка";"40,102,103,153,178"
"ГРАЖДАНСКИЙ ПР. УГ. ПР. НЕПОКОРЁННЫХ [40]";"ГРАЖДАНСКИЙ ПР. УГ. ПР. НЕПОКОРЁННЫХ";"Гражданский пр., Непокоренных пр.";"59,99679781";"30,3815975";"Остановка";"40,6"
"ГРАЖДАНСКИЙ ПР. УГ. СЕВЕРНОГО ПР. [40]";"ГРАЖДАНСКИЙ ПР. УГ. СЕВЕРНОГО ПР.";"Северный проспект, Северная площадь";"60,02293257";"30,404192";"Остановка";"40,94"
"ГРАЖДАНСКИЙ ПР.,90 [93, 102, 103, 153, 178]";"ГРАЖДАНСКИЙ ПР.,90";"Гражданский пр.";"60,01718503";"30,40205";"Остановка";"1М,1МА,60,93,102,103,153,177,178"
"ГРУЗОВОЙ ПРОЕЗД";"ГРУЗОВОЙ ПРОЕЗД";"ул. Софийская, Складской пр-д";"59,84291443";"30,4337997";"Остановка";"96,326"
"ГУСАРСКАЯ УЛ. [186]";"ГУСАРСКАЯ УЛ.";"Саперная ул., Огородная ул.";"59,70111694";"30,3964176";"Остановка";"186,273,372,376,382"
"ДАЛЬНЕВОСТОЧНОГО ПР.,УГ. ПР. БОЛЬШЕВИКОВ, [8]";"ДАЛЬНЕВОСТОЧНОГО ПР.,УГ. ПР. БОЛЬШЕВИКОВ,";"Большевиков пр., Дальневосточный пр.";"59,8770315";"30,4793777";"Остановка";"4,8"
"ДАЛЬНЕВОСТОЧНЫЙ ПР. [118, 140, 12]";"ДАЛЬНЕВОСТОЧНЫЙ ПР.";"Дальневосточный пр., ул. Новосёлов";"59,88367731";"30,4687023";"Остановка";"12,97,118,118А"
"БУЛЬВАР КРАСНЫХ ЗОРЬ";"БУЛЬВАР КРАСНЫХ ЗОРЬ";"Бабушкина ул., Красных Зорь бул.";"59,87248595";"30,4472923";"Остановка";"3М,3МБ,11"
"ДАЛЬНЕВОСТОЧНЫЙ ПР.,УГ. УЛ. ТЕЛЬМАНА [12]";"ДАЛЬНЕВОСТОЧНЫЙ ПР.,УГ. УЛ. ТЕЛЬМАНА";"ул. Тельмана, Дальневосточный пр.";"59,89009564";"30,4654675";"Остановка";"12,97,118,118А,118А"
"НОВОСМОЛЕНСКАЯ НАБ.,6 [7]";"НОВОСМОЛЕНСКАЯ НАБ.,6";"Новосмоленская наб.";"59,94817428";"30,2242947";"Остановка";"7,7А,128,151,158"
"НОВОСМОЛЕНСКАЯ НАБ.,УГ. УЛ. КОРАБЛЕСТРОИТЕЛЕЙ [7]";"НОВОСМОЛЕНСКАЯ НАБ.,УГ. УЛ. КОРАБЛЕСТРОИТЕЛЕЙ";"Кораблестроителей ул., Новосмоленская наб.";"59,94896097";"30,2156715";"Остановка";"7,7А,41,128,151,158"
"НОВОЧЕРКАССКИЙ ПР. [15, 22, 132, 136]";"НОВОЧЕРКАССКИЙ ПР.";"Новочеркасский пр., мост Петра Великаго (Большой Охтинский)";"59,94248559";"30,4070263";"Остановка";"15,22,105,136"
"НОВОЧЕРКАССКИЙ ПР.,УГ. КРАСНОГВАРДЕЙСК. ПЛОЩАДЬ [174]";"НОВОЧЕРКАССКИЙ ПР.,УГ. КРАСНОГВАРДЕЙСК. ПЛОЩАДЬ";"Новочеркасский пр., Малоохтинский пр.";"59,94119242";"30,4084053";"Остановка";"5,132,174"
""СТ. МЕТРО "ОБВОДНЫЙ КАНАЛ" [3, 15, 74]"";""СТ. МЕТРО "ОБВОДНЫЙ КАНАЛ"";"Лиговский пр., Обводного канала наб.";"59,91435622";"30,3501644";"Остановка";"3,26,54,74,76,91,141"
""ОБЪЕДИНЕНИЕ "ЛУЧ" [132]"";""ОБЪЕДИНЕНИЕ "ЛУЧ"";"Металлистов пр., Дегтярева ул.";"59,94942272";"30,4211102";"Остановка";"132"
""ОБЪЕДИНЕНИЕ "РУССКИЕ САМОЦВЕТЫ" [123]"";""ОБЪЕДИНЕНИЕ "РУССКИЕ САМОЦВЕТЫ"";"Энергетиков пр., Уткин пр.";"59,93603974";"30,4350185";"Остановка";"5,82,123"
""ОБЪЕДИНЕНИЕ "СВЕТЛАНА" [9, 40, 93, 98]"";""ОБЪЕДИНЕНИЕ "СВЕТЛАНА"";"Светлановский пр.";"60,00539674";"30,3333549";"Остановка";"9,40,93,98"
""ОБЪЕДИНЕНИЕ "СОКОЛ" [15]"";""ОБЪЕДИНЕНИЕ "СОКОЛ"";"Ириновский пр., Бокситогорская ул.";"59,95312671";"30,449852";"Остановка";"15"
"ВЕРБНАЯ УЛ.";"ВЕРБНАЯ УЛ.";"Репищева ул., Вербная ул.";"60,0236936";"30,2824631";"Остановка";"5М,5МА,38,44,122,170,172"
