Район;Наименование объекта ;Количество шт;Тип фундамента;Тип панелей;Тип павильона
"Пушкинский";"Оранжерейная ул. д. 23";"1";"конусный";"сетка";"Стандарт"
"Пушкинский";"Пушкинская ул. д. 10, п.Ш ушары";"1";"конусный";"сетка";"Стандарт-облегченный"
"Колпинский";"Загородная ул. у Саперного переулка";"1";"плита";"сетка";"Стандарт-облегченный"
"Колпинский";"Лагерное шоссе д. 53";"1";"конусный";"сетка";"Стандарт-облегченный"
"Красногвардейский";"Гранитная ул. у Ладожского вокзала";"1";"конусный";"сетка";"Стандарт-облегченный"
"Красногвардейский";"пр. Косыгина д. 23";"1";"конусный";"сетка";"Стандарт-облегченный"
"Красногвардейский";"Пискаревкий пр. у Среднеохтинского пр. у сада "Нева"";"1";"конусный";"сетка";"Стандарт"
"Красносельский";"пр. Ленина автобусная остановка "Скачки", четная сторона";"1";"конусный";"сетка";"Стандарт-облегченный"
"Красносельский";"Петергофское шоссе (местный проезд) у ул. Катерников, с двух сторон";"2";"конусный";"сетка";"Стандарт"
"Кронштадтский";"Интернациональная ул. д. 7  автобусная остановка  "Почта"";"1";"конусный";"сетка";"Стандарт-облегченный"
"Кронштадтский";"Петровская ул. д. 7";"1";"конусный";"сетка";"Стандарт-облегченный"
"Курортный";"ул. Григорьева нечетная сторона  автобусная остановка "ул.Курортная" г. Сестрорецк";"1";"плита";"сетка";"Стандарт-облегченный"
"Курортный";"Заречная дорога  автобусная остановка  "ТЭЦ" с двух сторон";"2";"конусный";"сетка";"Стандарт-облегченный"
"Курортный";"Приморское шоссе у Луговой ул. нечетая сторона,  пос. Репино";"1";"конусный";"сетка";"Стандарт"
"Курортный";"Советский пр. автобусная остановка  "Пляж Белая гора"";"1";"конусный";"сетка";"Стандарт-облегченный"
"Московский";"Благодатная ул.  у д. 9А по Варшавской ул.";"1";"конусный";"сетка";"Стандарт"
"Московский";"Пулковское шоссе, нечетная сторона у ж/д пл. "Аэропорт"";"1";"конусный";"сетка";"Стандарт"
"Невский";"3-ий Рыбацкий проезд напротив ст. метро "Рыбацкое"";"1";"конусный";"сетка";"Стандарт-облегченный"
"Невский";"ул. Коллонтай у Дальневосточного пр., четная сторона";"1";"конусный";"сетка";"Стандарт-облегченный"
"Невский";"Октябрьская наб. напротив д. 24";"1";"конусный";"сетка";"Стандарт-облегченный"
